Designator,Mid X,Mid Y,Rotation,Layer
J501,24.214,-5.802,180.0,top
J601,258.092,-5.802,180.0,top
J702,226.5,-30.62,90.0,bottom
J704,209.5,-30.62,90.0,bottom
J706,192.5,-30.62,90.0,bottom
J708,175.5,-30.62,90.0,bottom
J710,155.278,-5.802,180.0,top
J801,117.432,-5.802,180.0,top
L1201,175.006,-113.0785,270.0,top
L1202,180.594,-113.0785,270.0,top
L301,373.888,-18.288,270.0,top
L302,368.889,-23.126,180.0,top
L303,364.317,-19.316,90.0,top
L401,388.546,-61.468,180.0,top
L402,375.92,-74.492,270.0,top
L403,370.553,-99.847,180.0,top
Q301,370.01,-40.544,90.0,top
Q701,219.866111,-21.082,90.0,top
Q702,219.075,-33.655,0.0,top
Q703,202.819,-21.082,90.0,top
Q704,201.297889,-33.676,0.0,top
Q705,185.293,-21.082,90.0,top
Q706,184.404,-33.909,0.0,top
Q707,168.529,-21.082,90.0,top
Q708,168.041889,-33.274,0.0,top
R1001,72.771,-28.575,270.0,top
R1002,242.697,-19.05,270.0,top
R1003,80.01,-30.988,180.0,top
R1004,245.237,-2.413,180.0,top
R1005,244.475,-14.986,270.0,top
R1008,129.667,-56.769,180.0,top
R1009,152.146,-56.769,180.0,top
R1010,129.667,-58.674,0.0,top
R1011,91.015902,-24.892,180.0,top
R1012,91.0355,-27.686,180.0,top
R1013,239.649,-3.302,270.0,top
R1014,152.146,-53.975,180.0,top
R1101,132.875,-101.5385,0.0,top
R1102,132.313616,-85.9935,270.0,top
R1103,139.0325,-101.5385,0.0,top
R1104,146.05,-85.9935,270.0,top
R1105,141.224,-85.9935,270.0,top
R1106,144.6205,-101.5385,0.0,top
R1107,137.993,-115.142,0.0,top
R1108,143.2,-115.142,180.0,top
R1109,132.0,-115.0,270.0,top
R1110,149.0,-115.0,270.0,top
R1201,192.532,-98.171,180.0,top
R1202,187.991184,-111.510568,0.0,top
R1203,191.9205,-128.524,180.0,top
R1204,191.942514,-125.122099,180.0,top
R1205,200.152,-115.9995,90.0,top
R1301,108.458,-120.777,0.0,top
R1302,98.044,-120.777,180.0,top
R202,346.8135,-79.248,180.0,top
R203,342.4955,-79.248,0.0,top
R204,337.4155,-87.63,90.0,top
R205,355.092,-60.452,180.0,top
R206,350.774,-60.452,0.0,top
R207,337.4155,-82.296,270.0,top
R208,350.911413,-79.502,270.0,top
R209,359.918,-61.722,270.0,top
R210,379.222,-35.306,0.0,top
R211,345.694,-64.008,270.0,top
R212,345.694,-69.596,90.0,top
R301,345.952,-3.036,270.0,top
R302,349.758,-11.176,180.0,top
R303,360.1795,-44.358,90.0,top
R304,371.788,-34.956,180.0,top
R305,368.994,-44.608,0.0,top
R306,366.2,-33.178,0.0,top
R308,357.8935,-44.358,270.0,top
R309,362.7195,-44.358,90.0,top
R310,365.0055,-44.358,270.0,top
R311,355.6075,-49.438,270.0,top
R312,357.8935,-49.375,270.0,top
R313,362.7195,-49.438,270.0,top
R315,384.302,-17.272,90.0,top
R404,383.3895,-52.992945,180.0,top
R405,383.3895,-56.040945,180.0,top
R406,379.431846,-53.041846,90.0,top
R407,376.383846,-53.041846,270.0,top
R410,389.016338,-117.771759,180.0,top
R411,388.112,-114.239424,90.0,top
R412,383.794,-114.239424,270.0,top
R415,374.65,-83.94234,0.0,top
R416,366.522,-117.5875,90.0,top
R417,369.685,-83.94234,180.0,top
R418,366.522,-113.5145,90.0,top
R419,365.252,-83.94234,180.0,top
R420,370.586,-113.3875,270.0,top
R421,362.458,-113.5235,270.0,top
R422,334.53675,-12.954,90.0,top
R423,339.852,-12.954,90.0,top
R424,388.067846,-46.945846,0.0,top
R502,21.3595,-16.256,180.0,top
R503,20.8635,-34.2575,270.0,top
R504,16.637,-16.256,180.0,top
R505,28.2455,-38.862,0.0,top
R506,8.763,-11.176,270.0,top
R508,18.5935,-38.354,0.0,top
R509,28.2455,-35.56,180.0,top
R512,9.6755,-16.256,0.0,top
R513,28.2455,-32.258,0.0,top
R514,26.9475,-16.256,0.0,top
R515,28.2455,-28.956,180.0,top
R516,32.8175,-48.5625,180.0,top
R517,31.2655,-16.256,0.0,top
R518,39.497,-12.192,270.0,top
R519,32.8175,-52.8805,180.0,top
R520,38.6315,-16.256,180.0,top
R602,254.8305,-15.145,270.0,top
R603,255.4205,-38.735,270.0,top
R604,263.017,-44.069,0.0,top
R605,254.508,-19.812,180.0,top
R606,248.158,-15.113,270.0,top
R608,253.1345,-42.799,0.0,top
R609,262.7865,-40.005,180.0,top
R612,249.072681,-19.911333,0.0,top
R613,262.7865,-36.703,0.0,top
R614,262.89,-15.145,270.0,top
R615,262.7865,-33.401,180.0,top
R616,264.668,-54.356,180.0,top
R617,263.786937,-19.780686,0.0,top
R618,270.891,-15.145,270.0,top
R619,264.795,-57.531,180.0,top
R620,270.002,-19.812,180.0,top
R701,228.7035,-20.066,180.0,top
R702,179.324,-60.452,180.0,top
R703,217.548111,-12.827,270.0,top
R704,219.580111,-25.654,0.0,top
R705,220.683986,-7.620959,180.0,top
R706,227.491566,-43.789005,180.0,top
R707,176.395742,-64.5551,180.0,top
R708,222.561958,-43.769153,180.0,top
R709,218.601566,-46.329005,90.0,top
R710,222.668455,-55.346005,90.0,top
R711,219.326111,-30.378995,180.0,top
R712,211.7325,-20.066,180.0,top
R713,199.009,-10.16,90.0,top
R714,202.565,-25.654,0.0,top
R715,204.622363,-7.121586,90.0,top
R716,210.4155,-43.815,180.0,top
R717,205.3355,-43.815,180.0,top
R718,201.0175,-45.847,90.0,top
R719,206.0975,-55.346005,90.0,top
R720,201.549,-30.48,180.0,top
R721,194.564,-20.066,180.0,top
R722,181.864,-10.414,90.0,top
R723,185.928,-25.654,0.0,top
R724,186.944,-7.112,90.0,top
R725,193.458455,-44.297005,180.0,top
R726,188.378455,-44.297005,180.0,top
R727,184.060455,-46.075005,90.0,top
R728,188.505455,-55.346005,90.0,top
R729,184.655111,-30.713,180.0,top
R730,177.3955,-20.32,180.0,top
R731,166.515,-13.208,270.0,top
R732,168.547,-25.654,0.0,top
R733,170.665318,-7.217508,90.0,top
R734,176.458455,-44.170005,180.0,top
R735,171.378455,-44.170005,180.0,top
R736,167.060455,-45.694005,90.0,top
R737,166.37,-53.086,270.0,top
R738,168.293,-29.972,180.0,top
R739,224.3855,-20.066,180.0,top
R740,207.264,-20.066,180.0,top
R741,189.992,-20.066,180.0,top
R742,172.974,-20.32,180.0,top
R801,51.816,-34.29,0.0,top
R802,100.203,-7.874,180.0,top
R803,97.282,-4.064,0.0,top
R804,83.4625,-5.588,180.0,top
R805,102.7845,-13.97,0.0,top
